"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"-1","-1","single-stim","97","173121","0.0-97.0","","","Blobs/LowSimilarity/a02.gif","",""
"48","","button-response","98","174171","0.0-98.0","","","","0",""
"-1","-1","single-stim","99","175674","0.0-99.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","100","177676","0.0-100.0","","","Blobs/LowSimilarity/c16.gif","",""
"206","","button-response","101","178884","0.0-101.0","","","","0",""
"-1","-1","single-stim","102","180386","0.0-102.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","103","182388","0.0-103.0","","","Blobs/LowSimilarity/b08.gif","",""
"97","","button-response","104","183486","0.0-104.0","","","","0",""
"-1","-1","single-stim","105","184988","0.0-105.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","106","186989","0.0-106.0","","","Blobs/LowSimilarity/d10.gif","",""
"149","","button-response","107","188141","0.0-107.0","","","","0",""
"-1","-1","single-stim","108","189643","0.0-108.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","109","191645","0.0-109.0","","","Blobs/LowSimilarity/a16.gif","",""
"101","","button-response","110","192748","0.0-110.0","","","","0",""
"-1","-1","single-stim","111","194250","0.0-111.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","112","196252","0.0-112.0","","","Blobs/LowSimilarity/c14.gif","",""
"192","","button-response","113","197446","0.0-113.0","","","","0",""
"-1","-1","single-stim","114","198947","0.0-114.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
